cid,nlane,turn,dnroad,geom,len
4525_9015,0,U#S#R#L,9015_4525#9015_9055#9015_5339#9015_9074,LINESTRING(118.69893496 30.9312372540001;118.698885941 30.9312862210001;118.698507397 30.9316672250001;118.698290004 30.931884573;118.698071147 30.9321033850001;118.697811306 30.9323730720001;118.697493076 30.9327217860001;118.69725218 30.932984692;118.69707706 30.9331758100001;118.69674213 30.9335603000001;118.696707025 30.9336006;118.69630697 30.934081136;118.695931881 30.934533666;118.695633898 30.9349011960001;118.69553701 30.935026056;118.695359137 30.9352552760001;118.695083962 30.9356098850001;118.694722768 30.936097542;118.694403731 30.9365273810001;118.694107534 30.9369340160001;118.693790053 30.937389603;118.693481172 30.9378307600001;118.693122281 30.9383870980001;118.692839826 30.938820273;118.692586719 30.9392225220001;118.692234864 30.939801672;118.691933888 30.940315255;118.691619325 30.9408748270001;118.69132408 30.941399787;118.691094125 30.941859949;118.690860394 30.94229439;118.69059545 30.942842812;118.690440493 30.943160741;118.690255247 30.943582141;118.690174237 30.943760717;118.689859153 30.9444176390001;118.689656475 30.9448554900001;118.689444402 30.945325913;118.689220368 30.945808899;118.689011075 30.9462487440001;118.688807534 30.9467009210001;118.688631801 30.947097381;118.688420658 30.947558245;118.688179321 30.9480653150001;118.687969381 30.9485318910001;118.687799849 30.9489034540001;118.687590023 30.9493767070001;118.687381084 30.9498375420001;118.687147117 30.9503235180001;118.686940423 30.9507862310001;118.68672497 30.9512547850001;118.686473449 30.9518135220001;118.686245259 30.9523137360001;118.686025489 30.9527890260001;118.685770907 30.9533630720001;118.685517934 30.9539027390001;118.685256201 30.954448245;118.685077521 30.9548676430001;118.684903571 30.955241169;118.684685835 30.955706886;118.684450732 30.956255861;118.684351957 30.956468278;118.684237303 30.9567148410001;118.684093309 30.957028802;118.683878887 30.9574944760001;118.683675216 30.9579418750001;118.683469145 30.958378806;118.68324767 30.9588846550001;118.683068322 30.959266837;118.682823169 30.9598121230001;118.68260563 30.960290242;118.682448809 30.960631092;118.682254171 30.9610258800001;118.682028441 30.9614792900001;118.681822139 30.961903815;118.681584777 30.962388871;118.681407628 30.9627182130001;118.681026717 30.963448983;118.68063732 30.9641698400001;118.680239989 30.964912273;118.679850029 30.96560164;118.679489034 30.966237662;118.679245474 30.966654555;118.678861342 30.9672980330001;118.678462557 30.96795888;118.678138879 30.9684498230001;118.677761052 30.9690746050001;118.677363138 30.9696910590001;118.676968741 30.970318917;118.676659971 30.970808232;118.676604552 30.970896263;118.676367383 30.9712729990001;118.675917899 30.9719817380001;118.675382649 30.972821863;118.674875102 30.973631563;118.674417542 30.974354717;118.674042367 30.9749436650001;118.673643093 30.9755801680001;118.673132022 30.976379885;118.672785957 30.9769240750001;118.672473823 30.977413423;118.672058618 30.9780902110001;118.671591274 30.9788263670001;118.671153 30.9795149030001;118.670786041 30.980100873;118.670587003 30.980406944;118.670229556 30.980967021;118.669896474 30.981495287;118.669676533 30.98184171;118.669296915 30.982465061;118.663337259 30.9916854780001),7539.253870364584
9055_9015,0,S#U#L#R,9015_4525#9015_9055#9015_5339#9015_9074,LINESTRING(118.640235146 31.0371494620001;118.640376448 31.0367815160001;118.640439542 31.036650083;118.640522967 31.0365058630001;118.640645409 31.0362132180001;118.640759499 31.0359182930001;118.640923033 31.0354366340001;118.641128106 31.0347922010001;118.64131998 31.0341861100001;118.641542681 31.0334388530001;118.641716469 31.032812473;118.641904158 31.032124358;118.642127404 31.031377094;118.642300989 31.0307392620001;118.642466703 31.0301272990001;118.642624842 31.02955838;118.642820953 31.0288773130001;118.642990526 31.0282967950001;118.643179738 31.027601501;118.643375274 31.0268875140001;118.643506748 31.026411986;118.643768619 31.025495302;118.643990583 31.024675041;118.644172184 31.024021357;118.644222173 31.0238448700001;118.644361823 31.023351823;118.644479608 31.0229509110001;118.644547161 31.0227224280001;118.644707629 31.0221935610001;118.64483792 31.0217466780001;118.644971534 31.0212997520001;118.645098091 31.0209259280001;118.645233659 31.020496157;118.645298428 31.020299204;118.645415085 31.0199298000001;118.645549531 31.019531537;118.645628836 31.019310062;118.645816177 31.01879803;118.645968481 31.0183752020001;118.646148224 31.0179047820001;118.646240378 31.0176573750001;118.646449269 31.017142203;118.646667365 31.0165825350001;118.646835037 31.016183847;118.647061561 31.0156312280001;118.647290114 31.015100058;118.647560344 31.0144795960001;118.647863092 31.013817203;118.64814214 31.0132266910001;118.648453756 31.0125971100001;118.648744382 31.012003586;118.648887816 31.0117426370001;118.649166227 31.0112122580001;118.649320577 31.0109096520001;118.649376165 31.010809565;118.649565615 31.0104684570001;118.649802713 31.0100488360001;118.650084413 31.009516981;118.650386346 31.009002046;118.65061572 31.00861688;118.650890164 31.008146675;118.651232915 31.0075897;118.651532155 31.0071120170001;118.651635564 31.0069403360001;118.651867133 31.0065866360001;118.652130897 31.0061723950001;118.652394881 31.005771037;118.652682972 31.0053221260001;118.652896724 31.004995852;118.653319885 31.0043805780001;118.653562579 31.003998101;118.653888703 31.003538679;118.653992598 31.003395621;118.654314155 31.002960595;118.654588534 31.0025848670001;118.655093639 31.001904117;118.6552449 31.0017132080001;118.655678718 31.0011393070001;118.655991031 31.0007473430001;118.656687397 30.9998837540001;118.657325744 30.9991254110001;118.657708449 30.9986724120001;118.658102832 30.998222126;118.658604514 30.997634459;118.658964988 30.997241869;118.65960687 30.9964977870001;118.660183053 30.995798925;118.660699044 30.995175277;118.661354288 30.9943408240001;118.661919882 30.9936077340001;118.66242355 30.9929455860001;118.662951039 30.9922201380001;118.663337259 30.9916854780001),5563.346401538723
9172_9016,0,U#S,9016_9172#9016_5073,LINESTRING(118.813517071 30.994391744;118.817521804 30.994017969;118.821614477 30.993808576;118.826620863 30.993808576;118.83440646 30.99405604;118.843924304 30.9944177180001;118.852833006 30.9946271110001;118.855555109 30.9946271110001;118.858048784 30.9943796470001;118.860618602 30.9938276120001;118.862845778 30.9930090770001;118.864235383 30.992438007;118.865853416 30.9916004360001;118.867928306 30.9902489030001;118.869394054 30.989011583;118.870707517 30.987641013;118.872306514 30.9856803370001;118.872658361 30.9850849050001),6052.26740862775
9027_9017,0,U#R#L,9017_9027#9017_9061#9017_9018,LINESTRING(118.702817929 31.018474784;118.703013283 31.018466485;118.704949061 31.0184690130001;118.706759985 31.0184838550001;118.708386941 31.0185076500001),531.8149141613933
9061_9017,0,L#U#S,9017_9027#9017_9061#9017_9018,LINESTRING(118.708458325 31.0138558040001;118.708464274 31.01413539;118.708446428 31.015860499;118.708434531 31.0173060220001;118.708386941 31.0185076500001),515.8432676997452
9017_9018,0,U#L#S#R,9018_9017#9018_9020#9018_9019#9018_9068,LINESTRING(118.708386941 31.0185076500001;118.708336378 31.020413003;118.708286409 31.02206197;118.708214465 31.023639191),569.1853454815415
9020_9018,0,R#U#L#S,9018_9017#9018_9020#9018_9019#9018_9068,LINESTRING(118.703343333 31.0235507950001;118.704218329 31.0235606360001;118.706174729 31.0235848890001;118.708214465 31.023639191),465.2188355850981
9018_9019,2,U#R#L#S,9019_9018#9019_9021#9019_9020#9019_9028,LINESTRING(118.708214465 31.023639191;118.708122226 31.024246315;118.70792949 31.0249030460001;118.707736754 31.0254098710001;118.707472633 31.02598808;118.707101437 31.0265805660001;118.706651125 31.0271431900001),421.40230322471433
9021_9019,3,L#U#S#R,9019_9018#9019_9021#9019_9020#9019_9028,LINESTRING(118.710254818 31.028241311;118.709250686 31.0281187690001;118.708620128 31.0279760010001;118.707947931 31.0277499520001;118.70715676 31.0274108790001;118.706651125 31.0271431900001),369.0223544733545
9019_9020,0,U#S#R#L,9020_9019#9020_9027#9020_9071#9020_9018,LINESTRING(118.706651125 31.0271431900001;118.706371538 31.0269944730001;118.706038413 31.026798168;118.705639854 31.026494787;118.705205602 31.026137867;118.704735658 31.025679821;118.704450123 31.025370491;118.704188382 31.025013572;118.703992077 31.0247339850001;118.70380172 31.0244246550001;118.703563774 31.0240082500001;118.703343333 31.0235507950001),517.8015840986518
